district,day,day_part,degree,region,region_code,district_code
TASHKENT,9 MAY,kunduzi,28-30 °C,Toshkent viloyati,1727,NULL
TASHKENT,10 MAY,kechasi,15-17 °C,Toshkent viloyati,1727,NULL
TASHKENT,10 MAY,kunduzi,30-32 °C,Toshkent viloyati,1727,NULL
TASHKENT,11 MAY,kechasi,17-19 °C,Toshkent viloyati,1727,NULL
TASHKENT,11 MAY,kunduzi,31-33 °C,Toshkent viloyati,1727,NULL
TASHKENT,12 MAY,kechasi,18-20 °C,Toshkent viloyati,1727,NULL
NUKUS,9 MAY,kunduzi,28-30 °C,Qoraqalpog`iston respublikasi,1735,1735225
NUKUS,10 MAY,kechasi,15-20 °C,Qoraqalpog`iston respublikasi,1735,1735225
NUKUS,10 MAY,kunduzi,32-37 °C,Qoraqalpog`iston respublikasi,1735,1735225
NUKUS,11 MAY,kechasi,17-22 °C,Qoraqalpog`iston respublikasi,1735,1735225
NUKUS,11 MAY,kunduzi,34-39 °C,Qoraqalpog`iston respublikasi,1735,1735225
NUKUS,12 MAY,kechasi,17-22 °C,Qoraqalpog`iston respublikasi,1735,1735225
URGENCH,9 MAY,kunduzi,30-35 °C,Xorazm viloyati,1733,1733217
URGENCH,10 MAY,kechasi,15-20 °C,Xorazm viloyati,1733,1733217
URGENCH,10 MAY,kunduzi,32-37 °C,Xorazm viloyati,1733,1733217
URGENCH,11 MAY,kechasi,17-22 °C,Xorazm viloyati,1733,1733217
URGENCH,11 MAY,kunduzi,34-39 °C,Xorazm viloyati,1733,1733217
URGENCH,12 MAY,kechasi,17-22 °C,Xorazm viloyati,1733,1733217
BUKHARA,9 MAY,kunduzi,30-35 °C,Buxoro viloyati,1706,1706207
BUKHARA,10 MAY,kechasi,15-20 °C,Buxoro viloyati,1706,1706207
BUKHARA,10 MAY,kunduzi,32-37 °C,Buxoro viloyati,1706,1706207
BUKHARA,11 MAY,kechasi,15-20 °C,Buxoro viloyati,1706,1706207
BUKHARA,11 MAY,kunduzi,32-37 °C,Buxoro viloyati,1706,1706207
BUKHARA,12 MAY,kechasi,15-20 °C,Buxoro viloyati,1706,1706207
NAVOIY,9 MAY,kunduzi,30-35 °C,Navoiy viloyati,1712,1712401
NAVOIY,10 MAY,kechasi,15-20 °C,Navoiy viloyati,1712,1712401
NAVOIY,10 MAY,kunduzi,30-35 °C,Navoiy viloyati,1712,1712401
NAVOIY,11 MAY,kechasi,15-20 °C,Navoiy viloyati,1712,1712401
NAVOIY,11 MAY,kunduzi,32-37 °C,Navoiy viloyati,1712,1712401
NAVOIY,12 MAY,kechasi,15-20 °C,Navoiy viloyati,1712,1712401
SAMARKAND,9 MAY,kunduzi,30-35 °C,Samarqand viloyati,1718,1718233
SAMARKAND,10 MAY,kechasi,15-20 °C,Samarqand viloyati,1718,1718233
SAMARKAND,10 MAY,kunduzi,30-35 °C,Samarqand viloyati,1718,1718233
SAMARKAND,11 MAY,kechasi,15-20 °C,Samarqand viloyati,1718,1718233
SAMARKAND,11 MAY,kunduzi,32-37 °C,Samarqand viloyati,1718,1718233
SAMARKAND,12 MAY,kechasi,15-20 °C,Samarqand viloyati,1718,1718233
JIZZAKH,9 MAY,kunduzi,27-32 °C,Jizzax viloyati,1708,1708212
JIZZAKH,10 MAY,kechasi,15-20 °C,Jizzax viloyati,1708,1708212
JIZZAKH,10 MAY,kunduzi,30-35 °C,Jizzax viloyati,1708,1708212
JIZZAKH,11 MAY,kechasi,15-20 °C,Jizzax viloyati,1708,1708212
JIZZAKH,11 MAY,kunduzi,30-35 °C,Jizzax viloyati,1708,1708212
JIZZAKH,12 MAY,kechasi,15-20 °C,Jizzax viloyati,1708,1708212
