,Unnamed: 0,Ежемесячный Фин. Отчет Университета,Unnamed: 2,Unnamed: 3,Unnamed: 4,"2024
Остаток","2025
Январ","2025
Февраль","2025
Март","2025
Апрель","2025
Май","2025
Июнь","2025
Июль","2025
Август","2025
Сентябрь","2025
Октябрь","2025
Ноябрь","2025
Декабрь","Grand Total
2024-2025"
0,,,,,,UZS,UZS,UZS,UZS,UZS,UZS,UZS,UZS,UZS,UZS,UZS,UZS,UZS,UZS
1,,,,,,,,,,,,,,,,,,,
2,1.1),Тушум,,,,,,,,,,,,,,,,,
3,1),"Maxsus rivojlantirish mablag'lari
400110860272667094100350001",,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2.1),Тушум,,,,,,,,,,,,,,,,,
5,2),400110860262777094100079005,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,3.1),Тушум,,,,,,,,,,,,,,,,,
7,3),"Qo'shma talim (Belarus)
Л/С:  400910860262777094100079004",,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,4.1),Тушум,,,,,,,,,,,,,,,,,
9,4),"Innovasiya rivojlantirish jamg'armasi
Л/С:  400110860262777094100079006",,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,5.1),Тушум,,,,,,,,,,,,,,,,,0
11,5),"Innovasiya grant mablaglari
302810860262777097300254010",,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,6.1),Тушум,,,,,,,,,,,,,,,,,0
13,6),302810860262777097300254015.,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,1),1-Х/р,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,
15,2),2-Х/р,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,
16,3),3-Х/р,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,
17,4),4-Х/р,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,
18,5),5-Х/р,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,
19,6),6-Х/р,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,
20,1-6),Общие поступлении,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,I гуруҳ харажатлар - Иш ҳақи ва унга тенглаштирилган тўловлар,,,,,,,,,,,,,,,,,,
22,1),I гуруҳ харажатлари бўйича жами,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,1.1),Иш ҳақи ,41.0,10.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,1.1.1),Пул шаклидаги иш ҳақи ,41.0,11.0,0.0,,,,,,,,,,,,,,0
25,1.1.2),Асосий иш ҳақи ,,,100.0,,,,,,,,,,,,,,0
26,1.1.3),Иш ҳақига устама ва қўшимча тўловлар ,,,200.0,,,,,,,,,,,,,,0
27,1.2),Стипендиялар ,48.0,21.0,400.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,1.2.1),,,,410.0,,,,,,,,,,,,,,0
29,II  гуруҳ харажатлари - Иш берувчининг ажратмалари,,,,,,,,,,,,,,,,,,
30,2),II гуруҳ харажатлари бўйича жами,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,,Ягона ижтимоий тўлов,,,,,,,,,,,,,,,,,0
32,,Ижтимоий эҳтиёжларга бошқа ажратмалар/бадаллар,,,,,,,,,,,,,,,,,0
33,III  гуруҳ харажатлари - Капитал қўйилмалар,,,,,,,,,,,,,,,,,,
